mul;add;rot;inv;blocks;threads;energy
0;537500;0;0;2;16;0,050279827
0;537500;0;0;2;32;0,048105128
0;537500;0;0;2;48;0,036886194
0;537500;0;0;2;64;0,030695621
0;537500;0;0;2;80;0,027494762
0;537500;0;0;2;96;0,026345847
0;537500;0;0;2;112;0,02508351
0;537500;0;0;2;128;0,024364627
0;537500;0;0;2;144;0,023027206
0;537500;0;0;2;160;0,022883846
0;537500;0;0;2;176;0,02204295
0;537500;0;0;2;192;0,022077884
0;537500;0;0;2;208;0,021736851
0;537500;0;0;2;224;0,021882257
0;537500;0;0;2;240;0,021134213
0;537500;0;0;2;256;0,021555879
0;537500;0;0;2;272;0,021119711
0;537500;0;0;2;288;0,021506973
0;537500;0;0;2;304;0,021063818
0;537500;0;0;2;320;0,021146161
0;537500;0;0;2;336;0,021320329
0;537500;0;0;2;352;0,021017976
0;537500;0;0;2;368;0,020829265
0;537500;0;0;2;384;0,021265932
0;537500;0;0;2;400;0,021182092
0;537500;0;0;2;416;0,021017477
0;537500;0;0;2;432;0,020573021
0;537500;0;0;2;448;0,020853719
0;537500;0;0;2;464;0,021144664
0;537500;0;0;2;480;0,021421635
0;537500;0;0;2;496;0,021260942
0;537500;0;0;2;512;0,021026389
0;537500;0;0;2;528;0,020844736
0;537500;0;0;2;544;0,020637337
0;537500;0;0;2;560;0,020885159
0;537500;0;0;2;576;0,021141669
0;537500;0;0;2;592;0,021327814
0;537500;0;0;2;608;0,021532923
0;537500;0;0;2;624;0,021541293
0;537500;0;0;2;640;0,021469544
0;537500;0;0;2;656;0,021360202
0;537500;0;0;2;672;0,021184101
0;537500;0;0;2;688;0,020963509
0;537500;0;0;2;704;0,020954121
0;537500;0;0;2;720;0,02060669
0;537500;0;0;2;736;0,020849227
0;537500;0;0;2;752;0,020917204
0;537500;0;0;2;768;0,021126199
0;537500;0;0;2;784;0,021307353
0;537500;0;0;2;800;0,021438603
0;537500;0;0;2;816;0,02173354
0;537500;0;0;2;832;0,021788935
0;537500;0;0;2;848;0,022046943
0;537500;0;0;2;864;0,02203796
0;537500;0;0;2;880;0,022030474
0;537500;0;0;2;896;0,021780451
0;537500;0;0;2;912;0,021726554
0;537500;0;0;2;928;0,021735038
0;537500;0;0;2;944;0,021441597
0;537500;0;0;2;960;0,021539411
0;537500;0;0;2;976;0,021213033
0;537500;0;0;2;992;0,021134184
0;537500;0;0;2;1008;0,021277411
0;537500;0;0;2;1024;0,021005504
0;537500;0;0;4;16;0,031682935
0;537500;0;0;4;32;0,030535036
0;537500;0;0;4;48;0,02505755
0;537500;0;0;4;64;0,021676649
0;537500;0;0;4;80;0,02048592
0;537500;0;0;4;96;0,019880548
0;537500;0;0;4;112;0,019043173
0;537500;0;0;4;128;0,018876818
0;537500;0;0;4;144;0,018459262
0;537500;0;0;4;160;0,01799345
0;537500;0;0;4;176;0,018027362
0;537500;0;0;4;192;0,017825889
0;537500;0;0;4;208;0,017807735
0;537500;0;0;4;224;0,017434412
0;537500;0;0;4;240;0,017704967
0;537500;0;0;4;256;0,017642109
0;537500;0;0;4;272;0,017023487
0;537500;0;0;4;288;0,017221968
0;537500;0;0;4;304;0,017371078
0;537500;0;0;4;320;0,017666804
0;537500;0;0;4;336;0,017762055
0;537500;0;0;4;352;0,017210498
0;537500;0;0;4;368;0,016883353
0;537500;0;0;4;384;0,017052411
0;537500;0;0;4;400;0,017204015
0;537500;0;0;4;416;0,01738519
0;537500;0;0;4;432;0,017610182
0;537500;0;0;4;448;0,017736396
0;537500;0;0;4;464;0,017876579
0;537500;0;0;4;480;0,017995311
0;537500;0;0;4;496;0,017724653
0;537500;0;0;4;512;0,017510713
0;537500;0;0;4;528;0,017229448
0;537500;0;0;4;544;0,016802564
0;537500;0;0;4;560;0,01696863
0;537500;0;0;4;576;0,017144171
0;537500;0;0;4;592;0,017270341
0;537500;0;0;4;608;0,017302134
0;537500;0;0;4;624;0,017489577
0;537500;0;0;4;640;0,01757305
0;537500;0;0;4;656;0,017720664
0;537500;0;0;4;672;0,017802149
0;537500;0;0;4;688;0,018017388
0;537500;0;0;4;704;0,018094686
0;537500;0;0;4;720;0,018143059
0;537500;0;0;4;736;0,018257219
0;537500;0;0;4;752;0,018478682
0;537500;0;0;4;768;0,018548499
0;537500;0;0;4;784;0,018633867
0;537500;0;0;4;800;0,01875097
0;537500;0;0;4;816;0,018929004
0;537500;0;0;4;832;0,019108036
0;537500;0;0;4;848;0,019123496
0;537500;0;0;4;864;0,019193102
0;537500;0;0;4;880;0,019057169
0;537500;0;0;4;896;0,018970895
0;537500;0;0;4;912;0,018874822
0;537500;0;0;4;928;0,01886235
0;537500;0;0;4;944;0,018633368
0;537500;0;0;4;960;0,018501167
0;537500;0;0;4;976;0,018400395
0;537500;0;0;4;992;0,018257717
0;537500;0;0;4;1008;0,018131004
0;537500;0;0;4;1024;0,0180892
0;537500;0;0;6;16;0,025374058
0;537500;0;0;6;32;0,024780228
0;537500;0;0;6;48;0,020762393
0;537500;0;0;6;64;0,019083351
0;537500;0;0;6;80;0,017651345
0;537500;0;0;6;96;0,017676778
0;537500;0;0;6;112;0,017067908
0;537500;0;0;6;128;0,017045429
0;537500;0;0;6;144;0,016358725
0;537500;0;0;6;160;0,016610686
0;537500;0;0;6;176;0,016397623
0;537500;0;0;6;192;0,016240534
0;537500;0;0;6;208;0,016330733
0;537500;0;0;6;224;0,016469605
0;537500;0;0;6;240;0,015882969
0;537500;0;0;6;256;0,015924723
0;537500;0;0;6;272;0,015994516
0;537500;0;0;6;288;0,016244773
0;537500;0;0;6;304;0,016304866
0;537500;0;0;6;320;0,016460958
0;537500;0;0;6;336;0,016507991
0;537500;0;0;6;352;0,016031082
0;537500;0;0;6;368;0,01558224
0;537500;0;0;6;384;0,015800591
0;537500;0;0;6;400;0,015902788
0;537500;0;0;6;416;0,015961264
0;537500;0;0;6;432;0,016085439
0;537500;0;0;6;448;0,016217095
0;537500;0;0;6;464;0,016297616
0;537500;0;0;6;480;0,016625642
0;537500;0;0;6;496;0,016710804
0;537500;0;0;6;512;0,016767222
0;537500;0;0;6;528;0,016928734
0;537500;0;0;6;544;0,01708333
0;537500;0;0;6;560;0,017279816
0;537500;0;0;6;576;0,017401498
0;537500;0;0;6;592;0,01767703
0;537500;0;0;6;608;0,017799458
0;537500;0;0;6;624;0,017761058
0;537500;0;0;6;640;0,017530162
0;537500;0;0;6;656;0,017289671
0;537500;0;0;6;672;0,017179498
0;537500;0;0;6;688;0,016874377
0;537500;0;0;6;704;0,016945191
0;537500;0;0;6;720;0,01645996
